caseid,panid,week,brand,decision,regpr,pcut,disp,feat
26,14148668,941,1,1,7.064,0,1,1
26,14148668,941,2,0,4.125,0,0,0
26,14148668,941,3,0,7.014,0,1,0
26,14148668,941,4,0,5.99,0,0,0
27,14148668,959,1,0,7.064,0,0,0
27,14148668,959,2,1,4.12,0.542,1,1
27,14148668,959,3,0,7.014,0,1,0
27,14148668,959,4,0,6.59,0,0,0
28,14148668,979,1,1,6.925,0.118,1,0
28,14148668,979,2,0,4.701,0,0,0
28,14148668,979,3,0,6.93,0,1,1
28,14148668,979,4,0,6.59,0,0,0
29,14148668,982,1,0,6.925,0.118,1,0
29,14148668,982,2,1,4.701,0,0,1
29,14148668,982,3,0,7.063,0,0,0
29,14148668,982,4,0,6.59,0,0,0
30,14148668,1010,1,0,7.216,0.932,0,0
30,14148668,1010,2,0,4.955,0.148,0,0
30,14148668,1010,3,1,7.783,0.391,1,1
30,14148668,1010,4,0,6.79,0,0,0
31,14151399,925,1,0,7.064,0,0,0
31,14151399,925,2,0,4.121,0,0,0
31,14151399,925,3,0,7.017,0,0,0
31,14151399,925,4,1,6.012,1.022,1,1
32,14151399,930,1,0,7.064,0,0,0
32,14151399,930,2,1,4.121,0,1,1
32,14151399,930,3,0,7.017,0,0,0
32,14151399,930,4,0,5.825,0,0,0
33,14151399,967,1,0,7.068,0.225,0,0
33,14151399,967,2,0,4.5,0.369,0,0
33,14151399,967,3,1,7.019,1.205,1,1
33,14151399,967,4,0,6.59,0,1,1
34,14151399,969,1,0,6.968,1.057,1,1
34,14151399,969,2,1,4.598,0.227,0,1
34,14151399,969,3,0,6.933,0,0,0
34,14151399,969,4,0,6.59,0,0,0
35,14151399,978,1,1,6.925,0.118,1,1
35,14151399,978,2,0,4.682,0,0,0
35,14151399,978,3,0,7.063,0,0,0
35,14151399,978,4,0,6.59,0,0,0
36,14151399,1001,1,0,7.095,0,0,0
36,14151399,1001,2,0,4.723,0,0,0
36,14151399,1001,3,1,7.058,0,1,1
36,14151399,1001,4,0,6.65,0,0,0
37,14151399,1005,1,0,7.198,1.217,0,0
37,14151399,1005,2,0,4.723,0,0,0
37,14151399,1005,3,1,7.058,0,1,1
37,14151399,1005,4,0,6.65,0,0,0
38,14152611,913,1,0,7.344,0.302,0,0
38,14152611,913,2,1,4.379,0.239,0,0
38,14152611,913,3,0,6.96,0.307,0,0
38,14152611,913,4,0,6.045,0,0,1
39,14152611,923,1,0,7.059,0,0,0
39,14152611,923,2,0,4.17,0,0,0
39,14152611,923,3,1,7.017,0,1,1
39,14152611,923,4,0,5.99,0,0,0
40,14152611,925,1,0,7.064,0,0,0
40,14152611,925,2,0,4.121,0,0,0
40,14152611,925,3,0,7.017,0,0,0
40,14152611,925,4,1,6.012,1.022,1,1
41,14152611,934,1,1,7.064,0,0,0
41,14152611,934,2,0,4.121,0,0,0
41,14152611,934,3,0,7.014,0,0,0
41,14152611,934,4,0,5.907,0,0,0
42,14152611,940,1,0,7.064,0,0,0
42,14152611,940,2,0,4.125,0,0,0
42,14152611,940,3,1,7.014,0,1,1
42,14152611,940,4,0,5.99,0,0,0
43,14152611,953,1,0,7.062,0.127,0,0
43,14152611,953,2,0,4.125,0,0,0
43,14152611,953,3,1,7.014,0,1,0
43,14152611,953,4,0,6.59,0,0,0
44,14152611,966,1,0,7.079,0.384,0,0
44,14152611,966,2,0,4.464,0.37,1,1
44,14152611,966,3,1,7.005,0.441,1,0
44,14152611,966,4,0,6.59,0,0,0
45,14152611,968,1,0,7.064,0,0,0
45,14152611,968,2,0,4.598,0.227,0,0
45,14152611,968,3,1,7.005,0.441,1,0
45,14152611,968,4,0,6.59,0,1,0
46,14152611,975,1,0,6.925,0.118,0,1
46,14152611,975,2,0,4.679,0,1,0
46,14152611,975,3,1,7.072,0,0,0
46,14152611,975,4,0,6.59,0,0,0
47,14152611,984,1,0,6.827,0,0,0
47,14152611,984,2,0,4.701,0,0,0
47,14152611,984,3,1,7.063,0,1,1
47,14152611,984,4,0,6.59,0,0,0
48,14152611,995,1,1,6.913,0,1,0
48,14152611,995,2,0,4.753,0,0,0
48,14152611,995,3,0,7.106,0.048,0,0
48,14152611,995,4,0,6.6,0,0,0
49,14152611,996,1,0,6.902,0.589,1,1
49,14152611,996,2,0,4.753,0,0,0
49,14152611,996,3,1,7.106,0.048,0,0
49,14152611,996,4,0,6.65,0,0,0
50,14152611,1036,1,0,7.647,0,1,0
50,14152611,1036,2,0,5.028,0,0,0
50,14152611,1036,3,1,7.803,0,1,1
50,14152611,1036,4,0,6.79,0,0,0
51,14162206,1006,1,0,7.195,0.19,0,0
51,14162206,1006,2,0,4.8,0.073,1,1
51,14162206,1006,3,1,7.106,0,0,0
51,14162206,1006,4,0,6.65,0,0,0
52,14162206,1010,1,0,7.216,0.932,0,0
52,14162206,1010,2,0,4.955,0.148,0,0
52,14162206,1010,3,1,7.783,0.391,1,1
52,14162206,1010,4,0,6.79,0,0,0
53,14162206,1016,1,0,7.2,0.425,1,0
53,14162206,1016,2,0,4.828,0,0,0
53,14162206,1016,3,1,7.803,0,1,1
53,14162206,1016,4,0,6.79,0,0,0
54,14164152,982,1,1,6.925,0.118,1,0
54,14164152,982,2,0,4.701,0,0,1
54,14164152,982,3,0,7.063,0,0,0
54,14164152,982,4,0,6.59,0,0,0
55,14171850,945,1,0,7.064,0,1,0
55,14171850,945,2,0,4.125,0,0,0
55,14171850,945,3,1,7.014,0,1,1
55,14171850,945,4,0,5.99,0,0,0
56,14171850,984,1,0,6.827,0,0,0
56,14171850,984,2,0,4.701,0,0,0
56,14171850,984,3,1,7.063,0,1,1
56,14171850,984,4,0,6.59,0,0,0
57,14194233,960,1,0,7.064,0,0,0
57,14194233,960,2,1,4.231,0.425,1,0
57,14194233,960,3,0,7.014,0,0,0
57,14194233,960,4,0,6.59,0,0,0
58,14196600,985,1,1,6.827,0,1,1
58,14196600,985,2,0,4.701,0,0,0
58,14196600,985,3,0,7.063,0,1,0
58,14196600,985,4,0,6.59,0,0,0
59,14196600,993,1,0,6.852,0,0,0
59,14196600,993,2,0,4.65,0,1,0
59,14196600,993,3,0,7.337,0,0,0
59,14196600,993,4,1,6.507,0,1,1
60,14202663,1000,1,0,6.913,0,0,0
60,14202663,1000,2,0,4.704,0,0,0
60,14202663,1000,3,1,7.058,0,0,0
60,14202663,1000,4,0,6.65,0,0,0
61,14203612,953,1,0,7.062,0.127,0,0
61,14203612,953,2,0,4.125,0,0,0
61,14203612,953,3,1,7.014,0,1,0
61,14203612,953,4,0,6.59,0,0,0
62,14203612,958,1,0,7.064,0,0,0
62,14203612,958,2,0,4.125,0,0,0
62,14203612,958,3,1,7.014,0,1,0
62,14203612,958,4,0,6.59,0,1,1
63,14203612,1005,1,0,7.198,1.217,0,0
63,14203612,1005,2,0,4.723,0,0,0
63,14203612,1005,3,1,7.058,0,1,1
63,14203612,1005,4,0,6.65,0,0,0
64,14203612,1019,1,1,7.64,0,1,0
64,14203612,1019,2,0,4.827,0.144,0,0
64,14203612,1019,3,0,7.803,0,0,0
64,14203612,1019,4,0,6.79,0,0,0
65,14203612,1037,1,0,7.647,0,0,0
65,14203612,1037,2,0,5.028,0,1,1
65,14203612,1037,3,1,7.803,0,1,0
65,14203612,1037,4,0,6.79,0,0,0
66,14203737,948,1,1,7.064,0.245,1,1
66,14203737,948,2,0,4.125,0,1,0
66,14203737,948,3,0,7.014,0,0,0
66,14203737,948,4,0,6.59,0,0,0
67,14203737,974,1,0,6.889,0,0,0
67,14203737,974,2,1,4.679,0,1,1
67,14203737,974,3,0,7.072,0,0,0
67,14203737,974,4,0,6.59,0,0,0
68,14203737,1017,1,0,7.2,0.532,1,0
68,14203737,1017,2,1,4.824,0.157,1,1
68,14203737,1017,3,0,7.803,0,0,0
68,14203737,1017,4,0,6.79,0,0,0
69,14203810,983,1,0,6.94,0.142,0,0
69,14203810,983,2,0,4.701,0,0,0
69,14203810,983,3,1,7.063,0,1,1
69,14203810,983,4,0,6.59,0,0,0
70,14203810,1023,1,1,7.769,0,1,1
70,14203810,1023,2,0,5.028,0,1,1
70,14203810,1023,3,0,7.803,0,0,0
70,14203810,1023,4,0,6.79,0,0,0
71,14203869,940,1,0,7.064,0,0,0
71,14203869,940,2,0,4.125,0,0,0
71,14203869,940,3,1,7.014,0,1,1
71,14203869,940,4,0,5.99,0,0,0
72,14203869,945,1,0,7.064,0,1,0
72,14203869,945,2,0,4.125,0,0,0
72,14203869,945,3,1,7.014,0,1,1
72,14203869,945,4,0,5.99,0,0,0
73,14203869,958,1,0,7.064,0,0,0
73,14203869,958,2,0,4.125,0,0,0
73,14203869,958,3,1,7.014,0,1,0
73,14203869,958,4,0,6.59,0,1,1
74,14203869,967,1,0,7.068,0.225,0,0
74,14203869,967,2,0,4.5,0.369,0,0
74,14203869,967,3,1,7.019,1.205,1,1
74,14203869,967,4,0,6.59,0,1,1
75,14203869,979,1,0,6.925,0.118,1,0
75,14203869,979,2,0,4.701,0,0,0
75,14203869,979,3,1,6.93,0,1,1
75,14203869,979,4,0,6.59,0,0,0
76,14203869,1005,1,0,7.198,1.217,0,0
76,14203869,1005,2,0,4.723,0,0,0
76,14203869,1005,3,1,7.058,0,1,1
76,14203869,1005,4,0,6.65,0,0,0
77,14203869,1011,1,0,7.219,0.206,0,0
77,14203869,1011,2,0,4.854,0.168,1,1
77,14203869,1011,3,1,7.783,0.391,0,0
77,14203869,1011,4,0,6.79,0,0,0
78,14203869,1029,1,0,7.769,0.122,1,1
78,14203869,1029,2,0,5.019,0.336,0,0
78,14203869,1029,3,1,7.803,0,0,0
78,14203869,1029,4,0,6.79,0,0,0
79,14203869,1031,1,0,7.769,0.142,0,0
79,14203869,1031,2,0,5.027,0.201,0,0
79,14203869,1031,3,1,7.803,0,1,1
79,14203869,1031,4,0,6.79,0,0,0
80,14203869,1032,1,0,7.769,0.142,0,0
80,14203869,1032,2,0,5.028,0,1,1
80,14203869,1032,3,1,7.803,0,1,1
80,14203869,1032,4,0,6.79,0,0,0
81,14204032,959,1,0,7.064,0,0,0
81,14204032,959,2,1,4.12,0.542,1,1
81,14204032,959,3,0,7.014,0,1,0
81,14204032,959,4,0,6.59,0,0,0
82,14204057,950,1,0,7.071,0.309,1,1
82,14204057,950,2,0,4.125,0,0,0
82,14204057,950,3,1,7.014,0,0,0
82,14204057,950,4,0,6.59,0,0,0
83,14204057,1016,1,0,7.2,0.425,1,0
83,14204057,1016,2,0,4.828,0,0,0
83,14204057,1016,3,1,7.803,0,1,1
83,14204057,1016,4,0,6.79,0,0,0
84,14204065,918,1,0,7.207,0.133,1,0
84,14204065,918,2,0,4.17,0,0,0
84,14204065,918,3,1,6.986,0,1,1
84,14204065,918,4,0,5.99,0,0,0
85,14204065,922,1,0,7.156,0.114,1,1
85,14204065,922,2,0,4.17,0,0,0
85,14204065,922,3,1,7.017,0,0,0
85,14204065,922,4,0,5.99,0,0,1
86,14204065,924,1,0,7.064,0,0,0
86,14204065,924,2,0,4.121,0,0,0
86,14204065,924,3,1,7.017,0,0,0
86,14204065,924,4,0,5.994,0.929,0,0
87,14204065,1010,1,0,7.216,0.932,0,0
87,14204065,1010,2,0,4.955,0.148,0,0
87,14204065,1010,3,1,7.783,0.391,1,1
87,14204065,1010,4,0,6.79,0,0,0
88,14204065,1016,1,0,7.2,0.425,1,0
88,14204065,1016,2,0,4.828,0,0,0
88,14204065,1016,3,1,7.803,0,1,1
88,14204065,1016,4,0,6.79,0,0,0
89,14204065,1029,1,0,7.769,0.122,1,1
89,14204065,1029,2,1,5.019,0.336,0,0
89,14204065,1029,3,0,7.803,0,0,0
89,14204065,1029,4,0,6.79,0,0,0
90,14204065,1036,1,0,7.647,0,1,0
90,14204065,1036,2,0,5.028,0,0,0
90,14204065,1036,3,1,7.803,0,1,1
90,14204065,1036,4,0,6.79,0,0,0
91,14204610,908,1,0,7.421,0,1,0
91,14204610,908,2,0,4.379,0.239,1,1
91,14204610,908,3,0,6.985,0.202,1,0
91,14204610,908,4,1,6.045,0,1,0
92,14204610,916,1,0,7.207,0.165,1,0
92,14204610,916,2,0,4.17,0,0,0
92,14204610,916,3,0,6.986,0,1,1
92,14204610,916,4,1,6.045,0,0,0
93,14204610,925,1,0,7.064,0,0,0
93,14204610,925,2,0,4.121,0,0,0
93,14204610,925,3,1,7.017,0,0,0
93,14204610,925,4,0,6.012,1.022,1,1
94,14204610,926,1,0,7.064,0,1,1
94,14204610,926,2,0,4.121,0,0,0
94,14204610,926,3,0,7.017,0,0,0
94,14204610,926,4,1,6.011,0.361,0,0
95,14204610,932,1,0,7.064,0,0,0
95,14204610,932,2,0,4.121,0.073,1,0
95,14204610,932,3,0,7.017,0.09,1,1
95,14204610,932,4,1,5.71,0,1,1
96,14204610,937,1,0,7.064,0,0,0
96,14204610,937,2,0,4.122,0,0,0
96,14204610,937,3,0,7.014,0,0,0
96,14204610,937,4,1,5.937,0,0,0
97,14204610,939,1,0,7.064,0,0,0
97,14204610,939,2,0,4.125,0,0,0
97,14204610,939,3,0,7.014,0,0,0
97,14204610,939,4,1,5.99,0,0,0
98,14204610,942,1,0,7.064,0,0,0
98,14204610,942,2,0,4.125,0,0,0
98,14204610,942,3,0,7.014,0,0,0
98,14204610,942,4,1,5.99,0,0,0
99,14204610,944,1,0,7.064,0.088,1,0
99,14204610,944,2,0,4.125,0.073,1,0
99,14204610,944,3,0,7.014,0,0,1
99,14204610,944,4,1,5.99,0,0,0
100,14204610,947,1,0,7.064,0,0,0
100,14204610,947,2,0,4.125,0,1,1
100,14204610,947,3,0,7.014,0,0,0
100,14204610,947,4,1,6.59,0,0,0
101,14204610,948,1,0,7.064,0.245,1,1
101,14204610,948,2,0,4.125,0,1,0
101,14204610,948,3,0,7.014,0,0,0
101,14204610,948,4,1,6.59,0,0,0
102,14204610,950,1,0,7.071,0.309,1,1
102,14204610,950,2,0,4.125,0,0,0
102,14204610,950,3,0,7.014,0,0,0
102,14204610,950,4,1,6.59,0,0,0
103,14204610,952,1,0,7.071,0.265,1,0
103,14204610,952,2,0,4.125,0,0,1
103,14204610,952,3,0,7.014,0,0,0
103,14204610,952,4,1,6.533,0,0,0
104,14204610,954,1,0,7.064,0,0,0
104,14204610,954,2,0,4.125,0,0,0
104,14204610,954,3,0,7.014,0,0,0
104,14204610,954,4,1,6.59,0,0,0
105,14204610,958,1,0,7.064,0,0,0
105,14204610,958,2,0,4.125,0,0,0
105,14204610,958,3,0,7.014,0,1,0
105,14204610,958,4,1,6.59,0,1,1
106,14204610,960,1,0,7.064,0,0,0
106,14204610,960,2,0,4.231,0.425,1,0
106,14204610,960,3,0,7.014,0,0,0
106,14204610,960,4,1,6.59,0,0,0
107,14204610,962,1,0,7.071,0.309,0,0
107,14204610,962,2,0,4.234,0,0,0
107,14204610,962,3,0,7.014,0,0,1
107,14204610,962,4,1,6.59,0,0,0
108,14204610,964,1,0,7.077,0.436,1,1
108,14204610,964,2,0,4.234,0,0,0
108,14204610,964,3,0,7.014,0,0,0
108,14204610,964,4,1,6.59,0,0,0
109,14204610,966,1,0,7.079,0.384,0,0
109,14204610,966,2,0,4.464,0.37,1,1
109,14204610,966,3,0,7.005,0.441,1,0
109,14204610,966,4,1,6.59,0,0,0
110,14204610,969,1,0,6.968,1.057,1,1
110,14204610,969,2,0,4.598,0.227,0,1
110,14204610,969,3,0,6.933,0,0,0
110,14204610,969,4,1,6.59,0,0,0
111,14204610,974,1,0,6.889,0,0,0
111,14204610,974,2,0,4.679,0,1,1
111,14204610,974,3,0,7.072,0,0,0
111,14204610,974,4,1,6.59,0,0,0
112,14204610,976,1,0,6.925,0.118,0,0
112,14204610,976,2,0,4.679,0,1,0
112,14204610,976,3,0,7.072,0,0,0
112,14204610,976,4,1,6.59,0,1,1
113,14204610,978,1,0,6.925,0.118,1,1
113,14204610,978,2,0,4.682,0,0,0
113,14204610,978,3,0,7.063,0,0,0
113,14204610,978,4,1,6.59,0,0,0
114,14204610,981,1,0,6.925,0.118,1,1
114,14204610,981,2,0,4.701,0,0,0
114,14204610,981,3,0,7.063,0,0,0
114,14204610,981,4,1,6.59,0,0,0
115,14204610,985,1,0,6.827,0,1,1
115,14204610,985,2,0,4.701,0,0,0
115,14204610,985,3,0,7.063,0,1,0
115,14204610,985,4,1,6.59,0,0,0
116,14204610,987,1,0,6.827,0,0,0
116,14204610,987,2,0,4.72,0,0,0
116,14204610,987,3,0,7.063,0,1,1
116,14204610,987,4,1,6.597,0.594,1,1
117,14204610,992,1,0,6.827,0,0,0
117,14204610,992,2,0,4.652,0,1,1
117,14204610,992,3,0,7.399,0,0,0
117,14204610,992,4,1,6.59,0,0,0
118,14204610,994,1,0,6.913,0,1,1
118,14204610,994,2,0,4.715,0,0,0
118,14204610,994,3,0,7.106,0.048,0,0
118,14204610,994,4,1,6.5,0,1,0
119,14204610,995,1,0,6.913,0,1,0
119,14204610,995,2,0,4.753,0,0,0
119,14204610,995,3,0,7.106,0.048,0,0
119,14204610,995,4,1,6.6,0,0,0
120,14204610,1005,1,0,7.198,1.217,0,0
120,14204610,1005,2,0,4.723,0,0,0
120,14204610,1005,3,0,7.058,0,1,1
120,14204610,1005,4,1,6.65,0,0,0
121,14204610,1006,1,0,7.195,0.19,0,0
121,14204610,1006,2,0,4.8,0.073,1,1
121,14204610,1006,3,0,7.106,0,0,0
121,14204610,1006,4,1,6.65,0,0,0
122,14204610,1008,1,0,7.503,0.063,0,0
122,14204610,1008,2,0,4.841,0.192,1,0
122,14204610,1008,3,0,7.803,0,0,0
122,14204610,1008,4,1,6.79,0,0,0
123,14204610,1011,1,0,7.219,0.206,0,0
123,14204610,1011,2,0,4.854,0.168,1,1
123,14204610,1011,3,0,7.783,0.391,0,0
123,14204610,1011,4,1,6.79,0,0,0
124,14204610,1012,1,0,7.44,0,1,1
124,14204610,1012,2,0,4.851,0.192,1,0
124,14204610,1012,3,0,7.763,0.119,0,0
124,14204610,1012,4,1,6.79,0,0,0
125,14204610,1015,1,0,7.2,0.532,1,0
125,14204610,1015,2,0,4.828,0,1,0
125,14204610,1015,3,0,7.803,0,0,0
125,14204610,1015,4,1,6.79,0,0,0
126,14204610,1016,1,0,7.2,0.425,1,0
126,14204610,1016,2,0,4.828,0,0,0
126,14204610,1016,3,0,7.803,0,1,1
126,14204610,1016,4,1,6.79,0,0,0
127,14204610,1019,1,0,7.64,0,1,0
127,14204610,1019,2,0,4.827,0.144,0,0
127,14204610,1019,3,0,7.803,0,0,0
127,14204610,1019,4,1,6.79,0,0,0
128,14204610,1020,1,0,7.64,0,0,0
128,14204610,1020,2,0,4.827,0.191,0,0
128,14204610,1020,3,0,7.803,0,0,0
128,14204610,1020,4,1,6.79,0,0,0
129,14204610,1022,1,0,7.769,0.142,1,1
129,14204610,1022,2,0,5.028,0,0,0
129,14204610,1022,3,0,7.803,0,0,0
129,14204610,1022,4,1,6.79,0,0,0
130,14204610,1030,1,0,7.769,0.171,1,0
130,14204610,1030,2,0,5.019,0.336,0,0
130,14204610,1030,3,0,7.803,0,0,1
130,14204610,1030,4,1,6.79,0,0,0
131,14204610,1034,1,0,7.647,0,0,0
131,14204610,1034,2,0,5.028,0,1,0
131,14204610,1034,3,0,7.803,0,0,0
131,14204610,1034,4,1,6.79,0,0,0
132,14204610,1035,1,0,7.647,0,1,1
132,14204610,1035,2,0,5.028,0,0,0
132,14204610,1035,3,0,7.803,0,0,0
132,14204610,1035,4,1,6.79,0,0,0
133,14204610,1037,1,0,7.647,0,0,0
133,14204610,1037,2,0,5.028,0,1,1
133,14204610,1037,3,0,7.803,0,1,0
133,14204610,1037,4,1,6.79,0,0,0
134,14204610,1039,1,0,7.647,0,1,0
134,14204610,1039,2,0,5.028,0,0,0
134,14204610,1039,3,0,7.803,0,0,0
134,14204610,1039,4,1,6.79,0,0,0
135,14205005,995,1,1,6.913,0,1,0
135,14205005,995,2,0,4.753,0,0,0
135,14205005,995,3,0,7.106,0.048,0,0
135,14205005,995,4,0,6.6,0,0,0
136,14205005,1034,1,1,7.647,0,0,0
136,14205005,1034,2,0,5.028,0,1,0
136,14205005,1034,3,0,7.803,0,0,0
136,14205005,1034,4,0,6.79,0,0,0
137,14205054,943,1,0,7.064,0,0,0
137,14205054,943,2,0,4.125,0,1,1
137,14205054,943,3,1,7.014,0,0,0
137,14205054,943,4,0,5.99,0,0,0
138,14205054,945,1,1,7.064,0,1,0
138,14205054,945,2,0,4.125,0,0,0
138,14205054,945,3,0,7.014,0,1,1
138,14205054,945,4,0,5.99,0,0,0
139,14205054,956,1,1,7.064,0,0,0
139,14205054,956,2,0,4.125,0,1,0
139,14205054,956,3,0,7.014,0,0,0
139,14205054,956,4,0,6.59,0,0,0
140,14205054,961,1,1,7.064,0.254,1,1
140,14205054,961,2,0,4.234,0,0,0
140,14205054,961,3,0,7.014,0,0,0
140,14205054,961,4,0,6.59,0,0,0
141,14205054,972,1,1,6.747,0.086,0,0
141,14205054,972,2,0,4.679,0,0,0
141,14205054,972,3,0,7.072,0,1,1
141,14205054,972,4,0,6.59,0,0,0
142,14205054,979,1,1,6.925,0.118,1,0
142,14205054,979,2,0,4.701,0,0,0
142,14205054,979,3,0,6.93,0,1,1
142,14205054,979,4,0,6.59,0,0,0
143,14205054,994,1,1,6.913,0,1,1
143,14205054,994,2,0,4.715,0,0,0
143,14205054,994,3,0,7.106,0.048,0,0
143,14205054,994,4,0,6.5,0,1,0
144,14205054,1003,1,1,7.198,0.974,0,0
144,14205054,1003,2,0,4.723,0,0,0
144,14205054,1003,3,0,7.058,0,0,0
144,14205054,1003,4,0,6.65,0,0,0
145,14205054,1012,1,1,7.44,0,1,1
145,14205054,1012,2,0,4.851,0.192,1,0
145,14205054,1012,3,0,7.763,0.119,0,0
145,14205054,1012,4,0,6.79,0,0,0
146,14205054,1017,1,1,7.2,0.532,1,0
146,14205054,1017,2,0,4.824,0.157,1,1
146,14205054,1017,3,0,7.803,0,0,0
146,14205054,1017,4,0,6.79,0,0,0
147,14205054,1023,1,1,7.769,0,1,1
147,14205054,1023,2,0,5.028,0,1,1
147,14205054,1023,3,0,7.803,0,0,0
147,14205054,1023,4,0,6.79,0,0,0
148,14205120,969,1,1,6.968,1.057,1,1
148,14205120,969,2,0,4.598,0.227,0,1
148,14205120,969,3,0,6.933,0,0,0
148,14205120,969,4,0,6.59,0,0,0
149,14205120,986,1,1,6.827,0,1,0
149,14205120,986,2,0,4.72,0,0,0
149,14205120,986,3,0,7.063,0,0,0
149,14205120,986,4,0,6.59,0,0,0
150,14205120,1009,1,1,7.279,0.684,1,1
150,14205120,1009,2,0,4.841,0.168,0,0
150,14205120,1009,3,0,7.789,0,0,0
150,14205120,1009,4,0,6.79,0,0,0
151,14205120,1039,1,1,7.647,0,1,0
151,14205120,1039,2,0,5.028,0,0,0
151,14205120,1039,3,0,7.803,0,0,0
151,14205120,1039,4,0,6.79,0,0,0
152,14205476,979,1,0,6.925,0.118,1,0
152,14205476,979,2,0,4.701,0,0,0
152,14205476,979,3,1,6.93,0,1,1
152,14205476,979,4,0,6.59,0,0,0
153,14205476,1005,1,0,7.198,1.217,0,0
153,14205476,1005,2,0,4.723,0,0,0
