RESPONDENT_ID,ad_id,brand,page_num,page_pos,brand_fix,pic_fix,brand_size,pic_size,recall_accu,RECALL_TIME
31,18,Stuyvesant,43,1,1,2,4.82205,51.2554,1,4.04
31,19,Margriet,48,0,2,9,1.8817,76.23675,1,1.64
31,20,Chantelle,55,1,8,5,25.1658,80.1195,1,1.72
31,21,Kodak,69,1,4,7,4.27645,64.76365,0,2.32
31,22,Gilette,71,1,3,9,1.9592,75.83065,1,2.36
31,23,Silan,75,1,2,6,9.19925,64.90315,1,1.72
31,24,Fancy,76,0,1,2,4.57715,32.82435,1,1.56
31,25,Cartoon,94,0,4,7,9.38525,75.57335,0,2.72
31,26,VanderBilt,96,0,5,7,16.2781,71.25505,1,1.08
31,27,Viva,98,0,4,2,3.0659,24.0219,1,1.88
31,28,Arden,99,1,6,15,9.3124,77.62865,1,2.24
31,29,Gauloises,107,1,4,9,5.9644,77.6674,1,1.92
31,30,Appelsientje,108,0,0,6,2.0987,75.08665,1,2.64
31,31,Conimex,113,1,2,4,4.5787,55.6357,1,1.32
31,32,Corona,114,0,1,7,1.81505,84.42385,1,1.4
31,33,Daihatsu,123,1,2,5,2.9915,65.11395,1,1.48
31,34,DelMonte,125,1,6,4,7.36715,77.63175,1,2.04
31,35,Lancome,127,1,3,7,16.98025,60.2206,1,1.04
32,1,Armani,2,0,0,0,17.06395,74.19695,0,2.64
32,2,LOreal,5,1,0,1,4.38185,52.58685,1,3.72
32,3,Astnor,6,0,0,6,6.85565,77.6116,0,2.12
32,4,MarieJo,11,1,0,1,2.914,71.3558,0,1.88
32,5,SiSi,13,1,0,0,4.09045,52.40085,1,4.68
32,6,ClearBlue,14,0,2,1,2.2537,77.60385,0,4.24
32,7,Lancaster,17,1,0,0,2.37925,88.0896,0,4.48
32,8,Barclay,18,0,0,5,4.9166,72.6268,1,3.32
32,9,Dior,21,1,5,4,17.236,64.2072,1,2.32
32,10,Citroen,22,0,0,0,1.9902,71.15895,0,2.56
32,11,Nivea,25,1,0,11,4.54925,61.79385,1,1.24
32,12,Davidoff,26,0,0,0,1.8321,78.3742,1,1.96
32,13,Dali,29,1,0,5,6.6774,68.4728,0,1.88
32,14,Kapper,31,1,0,2,3.63475,69.7221,0,3.16
32,15,Alfa,32,0,0,0,2.72335,61.6156,0,3
32,16,Legere,35,1,6,3,14.3065,53.30915,1,2.88
32,17,Spa,40,0,3,5,11.3088,77.6488,1,2.96
32,18,Stuyvesant,43,1,0,2,4.82205,51.2554,1,1.96
32,19,Margriet,48,0,1,9,1.8817,76.23675,0,2.32
32,20,Chantelle,55,1,1,5,25.1658,80.1195,1,2.8
32,21,Kodak,69,1,0,10,4.27645,64.76365,0,2.8
32,22,Gilette,71,1,1,17,1.9592,75.83065,1,2.72
32,23,Silan,75,1,1,8,9.19925,64.90315,1,1.36
32,24,Fancy,76,0,0,1,4.57715,32.82435,1,4.08
32,25,Cartoon,94,0,0,0,9.38525,75.57335,0,2.32
32,26,VanderBilt,96,0,0,1,16.2781,71.25505,1,2.84
32,27,Viva,98,0,0,0,3.0659,24.0219,1,1.72
32,28,Arden,99,1,2,6,9.3124,77.62865,0,2.76
32,29,Gauloises,107,1,3,4,5.9644,77.6674,0,4.8
32,30,Appelsientje,108,0,0,7,2.0987,75.08665,1,3.44
32,31,Conimex,113,1,11,14,4.5787,55.6357,1,1.36
32,32,Corona,114,0,0,0,1.81505,84.42385,0,3.24
32,33,Daihatsu,123,1,0,0,2.9915,65.11395,1,2.08
32,34,DelMonte,125,1,2,3,7.36715,77.63175,0,3.2
32,35,Lancome,127,1,0,2,16.98025,60.2206,0,2.04
33,1,Armani,2,0,2,5,17.06395,74.19695,0,3.8
